category,name_or_role,public_channel,scope,matching_roles,source_url,status,next_action,notes
Official,Stripe Jobs,Website,All open roles,All roles,https://stripe.com/jobs/search,Ready,Apply directly before outreach,Use exact role URL in every message
Official,Stripe University Recruiting,Website,Internships and new grads,Intern and new grad roles,https://stripe.com/jobs/university,Ready,Use if targeting internship or new grad,Apply early based on academic calendar
Official,candidatefeedback-applications@stripe.com,Email,Application submission or technical difficulty only,Any role with application-site issue,https://stripe.com/jobs,Restricted,Use only for application-site issues,Not for general recruiter outreach
Official,accommodations@stripe.com,Email,Candidate accommodation requests only,Any role requiring accommodation,https://stripe.com/jobs,Restricted,Use only for accommodation requests,Not for general recruiter outreach
Recruiting org signal,Technical Recruiter AMER,Stripe Jobs,Engineering and specialized tech across AMER,"Backend; infrastructure; security; AI/ML engineering",https://stripe.com/jobs/listing/technical-recruiter-fixed-term-contract/7733563,Ready,Use this signal to route to AMER technical recruiting,"Official role page says this recruiter supports Engineering and Specialized Tech teams across AMER"
Recruiting org signal,Technical Recruiter APAC,Stripe Jobs,Technology teams across APAC,"Bengaluru; APAC technical roles",https://stripe.com/jobs/listing/technical-recruiter-fixed-term-contract/7557132,Ready,Use this signal for APAC technical targeting,"Official role page says this recruiter scales Technology teams across APAC"
Recruiting org signal,University Recruiter,Stripe Jobs,Interns and new graduates,"Internship; new grad engineering and product roles",https://stripe.com/jobs/listing/university-recruiter-fixed-term-contract/7684280,Ready,Use official university path first,"Official role page says this team manages new graduate and intern candidates"
Recruiting org signal,Design Recruiter,Stripe Jobs,Design org hiring,"Product design; brand design; content design; design engineering; UX research",https://stripe.com/jobs/listing/design-recruiter-fixed-term/7743309,Ready,Use only for design-related targets,"Official role page lists design recruiting scope"
Recruiting org signal,Operations Recruiter,Stripe Jobs,Stripe Delivery Center and operations,Operations roles,https://stripe.com/jobs/listing/operations-recruiter/7309418,Ready,Use only for operations targets,"Official role page says this recruiter supports SDC operations hiring in Mexico City"
Recruiting org signal,Data Recruiter,Stripe Jobs,Data organization hiring,"Data science; data analyst roles",https://stripe.com/jobs/search?gh_jid=7454046,Ready,Use for data roles only,"Official role page says this recruiter supports global Data organization searches"
Public recruiter profile,Gabi Clingan,LinkedIn,Stripe Infrastructure recruiting,"Backend Engineer Core Technology; Infrastructure roles",https://www.linkedin.com/in/gabiclingan,Verify current status,Connect after applying,"Public profile snippet says Technical Recruiter for Stripe Infrastructure"
Public recruiter profile,Erin Hubbard,LinkedIn,Senior technical recruiting,"Security; infrastructure; engineering roles",https://www.linkedin.com/in/erinhubbardtr,Verify current status,Connect after applying,"Public profile snippet says Senior Technical Recruiter at Stripe"
Public recruiter profile,Colin Harper,LinkedIn,AI talent acquisition,"Backend Engineer AI Security; AI/ML roles",https://www.linkedin.com/in/airecruiting,Verify current status,Connect after applying,"Public profile snippet says Technical Recruiter specializing in AI Talent Acquisition"
